#x,Curve1
-2.86014,10.1378
-2.84758,9.8622
-2.81717,9.6631
-2.80277,9.51
-2.76493,9.2496
-2.75145,9.0352
-2.72127,8.8208
-2.7071,8.6524
-2.68527,8.438
-2.65394,8.3002
-2.62353,8.1011
-2.60124,7.9173
-2.58079,7.611
-2.53575,7.2741
-2.50045,6.8453
-2.49791,7.0138
-2.43709,6.6156
-2.41526,6.4012
-2.38508,6.1868
-2.34701,5.9418
-2.30825,5.7427
-2.2711,5.4364
-2.20798,5.1914
-2.18615,4.977
-2.13184,4.7014
-2.10932,4.5329
-2.05478,4.2726
-2.0174,3.9816
-1.96193,3.7825
-1.9067,3.5681
-1.87698,3.3231
-1.84542,3.2006
-1.79019,2.9862
-1.73495,2.7718
-1.68784,2.5727
-1.64027,2.4043
-1.58458,2.2205
-1.52934,2.0061
-1.44002,1.8377
-1.40892,1.6845
-1.37667,1.608
-1.31239,1.4395
-1.24,1.2557
-1.18384,1.1026
-1.11076,0.9648
-1.04579,0.8423
-0.98895,0.7351
-0.90821,0.5513
-0.76901,0.3675
-0.67064,0.245
-0.57181,0.1531
-0.54653,0.1685